Entity_Type,ID,Department,Tenure_Years,Tech_Adoption_Level,AI_Restriction_Status,Year,Hours_Saved_Lesson_Planning_Per_Week,PPTs_Created_Per_Month,Assignments_Graded_Per_Semester,Grading_Quality_Score,Grading_Time_Hours_Per_Semester,Hours_Saved_Admin_Per_Week,Students_Monitored,At_Risk_Students_Identified,Intervention_Success_Rate
Professor,PROF_006,Engineering,19,Traditional,Full Restriction,2023,0.28,1,88,0.842,10.8,0.09,17,4,0.467
Professor,PROF_006,Engineering,19,Traditional,Full Restriction,2024,0.49,1,191,0.935,6.68,0.16,35,6,0.532
Professor,PROF_006,Engineering,19,Traditional,Full Restriction,2025,0.5,2,215,0.955,4.96,0.2,39,7,0.57
Professor,PROF_007,Engineering,17,Moderate,Partial Restriction,2022,0.33,1,97,0.759,13.47,0.05,19,5,0.465
Professor,PROF_007,Engineering,17,Moderate,Partial Restriction,2023,0.99,4,106,0.855,9.4,0.59,43,12,0.56
Professor,PROF_007,Engineering,17,Moderate,Partial Restriction,2024,1.92,5,183,0.925,4.71,1.55,58,20,0.668
Professor,PROF_007,Engineering,17,Moderate,Partial Restriction,2025,3.62,8,173,0.937,4.66,1.97,79,27,0.671
Professor,PROF_008,Business,24,Early Adopter,Full Adoption,2022,0.56,4,52,0.807,12.39,0.31,21,2,0.444
Professor,PROF_008,Business,24,Early Adopter,Full Adoption,2023,1.65,7,112,0.831,10.84,1.33,65,15,0.68
Professor,PROF_008,Business,24,Early Adopter,Full Adoption,2024,5.74,8,126,0.915,7.19,3.3,115,31,0.787
Professor,PROF_008,Business,24,Early Adopter,Full Adoption,2025,6.01,13,247,0.925,4.73,3.59,124,27,0.878
Professor,PROF_009,Liberal Arts,23,Moderate,Full Adoption,2022,0.04,4,92,0.763,14.09,0.38,31,6,0.469
Professor,PROF_009,Liberal Arts,23,Moderate,Full Adoption,2023,2.68,7,126,0.876,8.55,0.7,69,10,0.61
Professor,PROF_009,Liberal Arts,23,Moderate,Full Adoption,2024,4.3,8,174,0.898,4.74,2.16,78,20,0.687
Professor,PROF_009,Liberal Arts,23,Moderate,Full Adoption,2025,7.75,11,245,0.947,5.14,5.15,100,34,0.846
Professor,PROF_010,Liberal Arts,6,Moderate,Full Adoption,2022,0.57,4,86,0.762,13.37,0.05,34,3,0.528
Professor,PROF_010,Liberal Arts,6,Moderate,Full Adoption,2023,2.41,7,95,0.828,9.97,1.21,72,14,0.647
Professor,PROF_010,Liberal Arts,6,Moderate,Full Adoption,2024,3.14,11,153,0.898,4.06,3.87,101,28,0.759
Professor,PROF_010,Liberal Arts,6,Moderate,Full Adoption,2025,5.49,11,241,0.949,5.82,4.94,149,42,0.767
Professor,PROF_011,Computer Science,20,Traditional,Partial Restriction,2022,0.48,1,92,0.77,12.28,0.02,12,2,0.419
Professor,PROF_011,Computer Science,20,Traditional,Partial Restriction,2023,0.84,3,87,0.851,10.73,0.4,27,7,0.556
Professor,PROF_011,Computer Science,20,Traditional,Partial Restriction,2024,2.44,6,155,0.909,7.87,1.24,63,28,0.66
Professor,PROF_011,Computer Science,20,Traditional,Partial Restriction,2025,3.99,7,231,0.933,4.74,2.27,78,43,0.685
Professor,PROF_012,Computer Science,14,Moderate,Full Adoption,2022,0.53,2,71,0.78,12.4,0.03,28,5,0.453
Professor,PROF_012,Computer Science,14,Moderate,Full Adoption,2023,2.91,6,131,0.866,10.53,1.17,74,15,0.633
Professor,PROF_012,Computer Science,14,Moderate,Full Adoption,2024,3.64,11,142,0.935,4.45,3.86,108,32,0.687
Professor,PROF_012,Computer Science,14,Moderate,Full Adoption,2025,7.21,14,224,0.926,3.43,5.4,143,47,0.859
Professor,PROF_013,Business,15,Moderate,Full Adoption,2022,0.89,3,54,0.801,12.93,0.29,32,4,0.522
Professor,PROF_013,Business,15,Moderate,Full Adoption,2023,2.89,4,124,0.88,9.51,0.63,78,15,0.686
Professor,PROF_013,Business,15,Moderate,Full Adoption,2024,3.33,9,164,0.881,5.87,2.11,97,26,0.779
Professor,PROF_013,Business,15,Moderate,Full Adoption,2025,7.23,12,226,0.932,4.2,4.69,124,40,0.779
Professor,PROF_014,Data Science,7,Traditional,Full Restriction,2022,0.0,1,65,0.803,15.97,0.0,6,0,0.288
Professor,PROF_014,Data Science,7,Traditional,Full Restriction,2023,0.13,1,93,0.844,11.98,0.08,12,3,0.39
Professor,PROF_014,Data Science,7,Traditional,Full Restriction,2024,0.38,2,143,0.923,5.11,0.12,28,6,0.495
Professor,PROF_014,Data Science,7,Traditional,Full Restriction,2025,0.58,2,190,0.933,4.36,0.18,32,7,0.599
Professor,PROF_015,Data Science,17,Early Adopter,Full Restriction,2022,0.09,1,54,0.811,13.67,0.02,11,1,0.297
Professor,PROF_015,Data Science,17,Early Adopter,Full Restriction,2023,0.18,1,144,0.858,11.94,0.05,19,3,0.487
Professor,PROF_015,Data Science,17,Early Adopter,Full Restriction,2024,0.55,2,152,0.913,5.66,0.13,35,6,0.534
Professor,PROF_015,Data Science,17,Early Adopter,Full Restriction,2025,0.66,2,152,0.948,5.31,0.29,32,8,0.547
Professor,PROF_016,Data Science,10,Early Adopter,Full Restriction,2022,0.02,1,98,0.826,12.19,0.01,7,1,0.335
Professor,PROF_016,Data Science,10,Early Adopter,Full Restriction,2023,0.25,1,129,0.888,10.21,0.07,20,4,0.447
Professor,PROF_016,Data Science,10,Early Adopter,Full Restriction,2024,0.44,2,133,0.929,4.85,0.11,30,6,0.526
Professor,PROF_016,Data Science,10,Early Adopter,Full Restriction,2025,0.62,2,200,0.965,4.04,0.24,36,12,0.552
Professor,PROF_017,Liberal Arts,11,Traditional,Full Restriction,2022,0.05,1,59,0.827,12.26,0.0,7,0,0.315
Professor,PROF_017,Liberal Arts,11,Traditional,Full Restriction,2023,0.23,1,102,0.83,8.61,0.04,14,2,0.458
Professor,PROF_017,Liberal Arts,11,Traditional,Full Restriction,2024,0.42,1,146,0.927,4.69,0.12,26,7,0.505
Professor,PROF_017,Liberal Arts,11,Traditional,Full Restriction,2025,0.6,2,219,0.926,4.38,0.2,39,8,0.555
Professor,PROF_018,Engineering,10,Early Adopter,Full Adoption,2022,0.92,2,66,0.778,15.22,0.37,39,4,0.456
Professor,PROF_018,Engineering,10,Early Adopter,Full Adoption,2023,1.97,5,107,0.85,9.85,1.62,53,8,0.57
Professor,PROF_018,Engineering,10,Early Adopter,Full Adoption,2024,5.06,9,137,0.911,6.13,2.48,94,25,0.702
Professor,PROF_018,Engineering,10,Early Adopter,Full Adoption,2025,6.69,10,235,0.936,3.36,5.73,119,32,0.796
Professor,PROF_019,Business,10,Moderate,Full Adoption,2022,0.56,2,93,0.763,13.14,0.18,21,2,0.475
Professor,PROF_019,Business,10,Moderate,Full Adoption,2023,1.66,4,112,0.821,8.9,1.05,43,10,0.563
Professor,PROF_019,Business,10,Moderate,Full Adoption,2024,5.42,7,122,0.917,5.64,3.96,100,28,0.749
Professor,PROF_019,Business,10,Moderate,Full Adoption,2025,7.75,10,243,0.929,5.01,5.82,114,31,0.812
Professor,PROF_020,Liberal Arts,14,Moderate,Full Adoption,2022,0.43,2,69,0.774,12.46,0.31,25,3,0.423
Professor,PROF_020,Liberal Arts,14,Moderate,Full Adoption,2023,1.96,6,82,0.824,9.35,0.7,62,12,0.58
Professor,PROF_020,Liberal Arts,14,Moderate,Full Adoption,2024,5.05,10,184,0.89,4.01,2.23,84,19,0.729
Professor,PROF_020,Liberal Arts,14,Moderate,Full Adoption,2025,6.05,10,218,0.962,5.9,3.81,110,37,0.774
Professor,PROF_021,Liberal Arts,4,Traditional,Partial Restriction,2022,0.42,2,90,0.825,15.2,0.17,14,4,0.425
Professor,PROF_021,Liberal Arts,4,Traditional,Partial Restriction,2023,1.02,4,121,0.851,11.27,0.46,31,12,0.547
Professor,PROF_021,Liberal Arts,4,Traditional,Partial Restriction,2024,2.31,4,144,0.905,5.57,1.23,65,22,0.633
Professor,PROF_021,Liberal Arts,4,Traditional,Partial Restriction,2025,3.15,7,156,0.957,5.08,1.57,87,42,0.696
Professor,PROF_022,Computer Science,8,Moderate,Full Restriction,2022,0.03,1,76,0.824,12.13,0.01,8,1,0.359
Professor,PROF_022,Computer Science,8,Moderate,Full Restriction,2023,0.12,1,110,0.85,9.83,0.07,16,3,0.401
Professor,PROF_022,Computer Science,8,Moderate,Full Restriction,2024,0.37,2,164,0.93,6.56,0.17,31,8,0.526
Professor,PROF_022,Computer Science,8,Moderate,Full Restriction,2025,0.75,2,187,0.931,4.27,0.21,42,9,0.578
Professor,PROF_023,Liberal Arts,19,Moderate,Full Adoption,2022,0.59,2,86,0.821,12.61,0.29,28,3,0.51
Professor,PROF_023,Liberal Arts,19,Moderate,Full Adoption,2023,2.87,5,90,0.856,8.45,1.98,75,12,0.688
Professor,PROF_023,Liberal Arts,19,Moderate,Full Adoption,2024,5.61,9,159,0.923,5.52,3.49,79,21,0.681
Professor,PROF_023,Liberal Arts,19,Moderate,Full Adoption,2025,6.0,13,174,0.963,5.77,4.66,126,39,0.809
Professor,PROF_024,Computer Science,12,Early Adopter,Full Restriction,2022,0.05,1,73,0.781,15.12,0.01,11,1,0.299
Professor,PROF_024,Computer Science,12,Early Adopter,Full Restriction,2023,0.29,1,99,0.853,8.34,0.1,13,2,0.392
Professor,PROF_024,Computer Science,12,Early Adopter,Full Restriction,2024,0.52,1,175,0.943,4.82,0.12,34,7,0.546
Professor,PROF_024,Computer Science,12,Early Adopter,Full Restriction,2025,0.68,2,227,0.956,4.58,0.24,44,11,0.576
Professor,PROF_025,Engineering,5,Early Adopter,Full Restriction,2022,0.04,1,68,0.814,13.63,0.0,11,1,0.323
Professor,PROF_025,Engineering,5,Early Adopter,Full Restriction,2023,0.21,1,138,0.86,10.38,0.05,22,3,0.454
Professor,PROF_025,Engineering,5,Early Adopter,Full Restriction,2024,0.37,1,154,0.897,6.89,0.19,33,9,0.555
Professor,PROF_025,Engineering,5,Early Adopter,Full Restriction,2025,0.54,2,156,0.952,5.21,0.28,44,9,0.578
Professor,PROF_026,Liberal Arts,19,Traditional,Partial Restriction,2022,0.17,2,51,0.786,12.14,0.17,14,3,0.41
Professor,PROF_026,Liberal Arts,19,Traditional,Partial Restriction,2023,0.94,4,103,0.829,10.26,0.79,37,14,0.522
Professor,PROF_026,Liberal Arts,19,Traditional,Partial Restriction,2024,1.53,4,159,0.929,5.61,0.97,54,25,0.678
Professor,PROF_026,Liberal Arts,19,Traditional,Partial Restriction,2025,3.29,8,247,0.934,3.06,2.31,72,38,0.693
Professor,PROF_027,Business,3,Moderate,Partial Restriction,2022,0.36,1,91,0.764,13.05,0.05,16,3,0.421
Professor,PROF_027,Business,3,Moderate,Partial Restriction,2023,0.99,3,124,0.887,9.62,0.66,24,6,0.562
Professor,PROF_027,Business,3,Moderate,Partial Restriction,2024,1.62,6,145,0.885,7.35,1.15,63,27,0.608
Professor,PROF_027,Business,3,Moderate,Partial Restriction,2025,3.35,6,204,0.953,5.81,2.13,79,31,0.697
Professor,PROF_028,Engineering,20,Moderate,Full Adoption,2022,0.6,3,58,0.827,12.43,0.04,36,5,0.506
Professor,PROF_028,Engineering,20,Moderate,Full Adoption,2023,2.2,4,118,0.826,8.31,0.5,69,10,0.565
Professor,PROF_028,Engineering,20,Moderate,Full Adoption,2024,3.94,9,168,0.89,7.8,2.89,116,22,0.795
Professor,PROF_028,Engineering,20,Moderate,Full Adoption,2025,7.28,14,230,0.953,5.08,5.62,124,41,0.834
Professor,PROF_029,Business,10,Traditional,Full Adoption,2022,0.59,2,72,0.806,13.89,0.16,34,5,0.445
Professor,PROF_029,Business,10,Traditional,Full Adoption,2023,2.85,5,138,0.896,9.9,1.79,78,15,0.628
Professor,PROF_029,Business,10,Traditional,Full Adoption,2024,4.93,9,179,0.914,7.54,3.06,95,25,0.688
Professor,PROF_029,Business,10,Traditional,Full Adoption,2025,5.95,10,153,0.96,3.96,5.06,115,30,0.864
Professor,PROF_030,Engineering,3,Early Adopter,Full Restriction,2022,0.09,1,67,0.844,15.2,0.02,11,1,0.289
Professor,PROF_030,Engineering,3,Early Adopter,Full Restriction,2023,0.11,1,136,0.866,9.09,0.05,20,3,0.429
Professor,PROF_030,Engineering,3,Early Adopter,Full Restriction,2024,0.52,1,122,0.913,5.19,0.19,26,5,0.48
Professor,PROF_030,Engineering,3,Early Adopter,Full Restriction,2025,0.51,2,164,0.939,5.04,0.2,40,12,0.533
Professor,PROF_031,Engineering,7,Traditional,Full Restriction,2022,0.09,1,74,0.824,12.26,0.01,11,1,0.304
Professor,PROF_031,Engineering,7,Traditional,Full Restriction,2023,0.14,1,120,0.835,11.12,0.05,13,2,0.408
Professor,PROF_031,Engineering,7,Traditional,Full Restriction,2024,0.46,2,180,0.898,6.06,0.15,25,5,0.545
Professor,PROF_031,Engineering,7,Traditional,Full Restriction,2025,0.57,2,238,0.95,4.74,0.19,42,10,0.55
Professor,PROF_032,Business,10,Early Adopter,Full Restriction,2022,0.08,1,54,0.824,13.13,0.01,7,0,0.356
Professor,PROF_032,Business,10,Early Adopter,Full Restriction,2023,0.2,1,116,0.838,10.73,0.03,16,2,0.478
Professor,PROF_032,Business,10,Early Adopter,Full Restriction,2024,0.45,1,177,0.92,6.65,0.15,24,5,0.55
Professor,PROF_032,Business,10,Early Adopter,Full Restriction,2025,0.74,2,246,0.928,3.48,0.22,43,12,0.587
Professor,PROF_033,Data Science,7,Early Adopter,Full Restriction,2022,0.09,1,80,0.833,12.52,0.01,7,0,0.366
Professor,PROF_033,Data Science,7,Early Adopter,Full Restriction,2023,0.27,1,91,0.821,9.15,0.07,16,2,0.425
Professor,PROF_033,Data Science,7,Early Adopter,Full Restriction,2024,0.3,2,154,0.889,5.13,0.1,33,9,0.505
Professor,PROF_033,Data Science,7,Early Adopter,Full Restriction,2025,0.69,2,242,0.959,3.52,0.27,30,7,0.589
Professor,PROF_034,Business,23,Moderate,Full Adoption,2022,0.07,3,99,0.849,14.7,0.22,22,3,0.458
Professor,PROF_034,Business,23,Moderate,Full Adoption,2023,1.13,4,85,0.85,11.28,0.88,62,12,0.591
Professor,PROF_034,Business,23,Moderate,Full Adoption,2024,5.99,7,132,0.94,6.11,3.65,80,16,0.69
Professor,PROF_034,Business,23,Moderate,Full Adoption,2025,7.04,12,176,0.963,5.89,3.58,128,43,0.805
Professor,PROF_035,Engineering,21,Moderate,Full Adoption,2022,0.31,3,87,0.773,12.85,0.02,31,4,0.471
Professor,PROF_035,Engineering,21,Moderate,Full Adoption,2023,2.09,7,125,0.836,8.36,0.73,66,15,0.664
Professor,PROF_035,Engineering,21,Moderate,Full Adoption,2024,4.88,10,172,0.944,7.87,2.37,84,19,0.694
Professor,PROF_035,Engineering,21,Moderate,Full Adoption,2025,5.38,13,233,0.942,3.6,4.73,121,34,0.785
Professor,PROF_036,Data Science,9,Early Adopter,Full Adoption,2022,0.07,3,95,0.847,14.89,0.33,20,3,0.536
Professor,PROF_036,Data Science,9,Early Adopter,Full Adoption,2023,2.45,6,120,0.839,11.95,0.71,55,10,0.582
Professor,PROF_036,Data Science,9,Early Adopter,Full Adoption,2024,4.04,8,121,0.917,7.53,2.17,82,15,0.728
Professor,PROF_036,Data Science,9,Early Adopter,Full Adoption,2025,5.4,11,195,0.955,5.46,3.6,143,30,0.833
Professor,PROF_037,Computer Science,4,Traditional,Full Adoption,2022,0.05,2,99,0.844,15.79,0.31,39,5,0.522
Professor,PROF_037,Computer Science,4,Traditional,Full Adoption,2023,1.16,7,83,0.868,11.14,1.22,53,8,0.559
Professor,PROF_037,Computer Science,4,Traditional,Full Adoption,2024,3.74,11,144,0.941,4.88,3.95,105,28,0.785
Professor,PROF_037,Computer Science,4,Traditional,Full Adoption,2025,6.3,12,193,0.948,5.16,4.07,131,36,0.814
Professor,PROF_038,Computer Science,11,Moderate,Full Adoption,2022,0.84,2,79,0.846,13.66,0.42,24,3,0.456
Professor,PROF_038,Computer Science,11,Moderate,Full Adoption,2023,2.98,7,129,0.889,10.31,1.16,73,14,0.681
Professor,PROF_038,Computer Science,11,Moderate,Full Adoption,2024,5.7,8,177,0.944,4.84,3.25,109,30,0.708
Professor,PROF_038,Computer Science,11,Moderate,Full Adoption,2025,7.33,13,243,0.929,3.71,5.93,136,44,0.814
Professor,PROF_039,Computer Science,23,Traditional,Full Adoption,2022,0.66,4,55,0.815,13.25,0.2,22,3,0.449
Professor,PROF_039,Computer Science,23,Traditional,Full Adoption,2023,2.55,7,115,0.898,9.82,0.85,42,8,0.6
Professor,PROF_039,Computer Science,23,Traditional,Full Adoption,2024,4.35,10,120,0.911,6.35,3.9,89,20,0.753
Professor,PROF_039,Computer Science,23,Traditional,Full Adoption,2025,6.07,13,186,0.959,5.12,4.62,146,48,0.777
Professor,PROF_040,Data Science,21,Early Adopter,Full Adoption,2022,0.94,2,50,0.762,13.81,0.47,24,2,0.488
Professor,PROF_040,Data Science,21,Early Adopter,Full Adoption,2023,2.38,7,132,0.858,10.74,0.53,64,13,0.68
Professor,PROF_040,Data Science,21,Early Adopter,Full Adoption,2024,4.36,9,169,0.904,6.13,2.25,114,22,0.793
Professor,PROF_040,Data Science,21,Early Adopter,Full Adoption,2025,7.2,11,234,0.925,5.02,4.61,104,35,0.783
